,shortName,longName,symbol,localLongName
0,FJD,Fijian Dollar,FJD,Fijian Dollar
1,STD,São Tomé and Príncipe Dobra,STD,São Tomé and Príncipe Dobra
2,MXN,Mexican Peso,MXN,Mexican Peso
3,LVL,Latvian Lats,LVL,Latvian Lats
4,SCR,Seychellois Rupee,SCR,Seychellois Rupee
5,CDF,Congolese Franc,CDF,Congolese Franc
6,GTQ,Guatemalan Quetzal,GTQ,Guatemalan Quetzal
7,BBD,Barbadian Dollar,BBD,Barbadian Dollar
8,CLP,Chilean Peso,CLP,Chilean Peso
9,UGX,Ugandan Shilling,UGX,Ugandan Shilling
10,HNL,Honduran Lempira,HNL,Honduran Lempira
11,MXV,Mexican Investment Unit,MXV,Mexican Investment Unit
12,ZAR,South African Rand,ZAR,South African Rand
13,TND,Tunisian Dinar,TND,Tunisian Dinar
14,STN,São Tomé and Príncipe Dobra,STN,São Tomé and Príncipe Dobra
15,CUC,Cuban Convertible Peso,CUC,Cuban Convertible Peso
16,SLL,Sierra Leonean Leone,SLL,Sierra Leonean Leone
17,BSD,Bahamian Dollar,BSD,Bahamian Dollar
18,SDG,Sudanese Pound,SDG,Sudanese Pound
19,IQD,Iraqi Dinar,IQD,Iraqi Dinar
20,GMD,Gambian Dalasi,GMD,Gambian Dalasi
21,CUP,Cuban Peso,CUP,Cuban Peso
22,TWD,New Taiwan Dollar,TWD,New Taiwan Dollar
23,RSD,Serbian Dinar,RSD,Serbian Dinar
24,DOP,Dominican Peso,DOP,Dominican Peso
25,KMF,Comorian Franc,KMF,Comorian Franc
26,MYR,Malaysian Ringgit,MYR,Malaysian Ringgit
27,FKP,Falkland Islands Pound,FKP,Falkland Islands Pound
28,XOF,CFA Franc BCEAO,XOF,CFA Franc BCEAO
29,GEL,Georgian Lari,GEL,Georgian Lari
30,UYU,Uruguayan Peso,UYU,Uruguayan Peso
31,MAD,Moroccan Dirham,MAD,Moroccan Dirham
32,CVE,Cape Verdean Escudo,CVE,Cape Verdean Escudo
33,TOP,Tongan Paʻanga,TOP,Tongan Paʻanga
34,AZN,Azerbaijan Manat,AZN,Azerbaijan Manat
35,PGK,Papua New Guinean Kina,PGK,Papua New Guinean Kina
36,OMR,Omani Rial,OMR,Omani Rial
37,KES,Kenyan Shilling,KES,Kenyan Shilling
38,SEK,Swedish Krona,SEK,Swedish Krona
39,UAH,Ukrainian Hryvnia,UAH,Ukrainian Hryvnia
40,BTN,Bhutanese Ngultrum,BTN,Bhutanese Ngultrum
41,GNF,Guinean Franc,GNF,Guinean Franc
42,ERN,Eritrean Nakfa,ERN,Eritrean Nakfa
43,MZN,Mozambican Metical,MZN,Mozambican Metical
44,SVC,Salvadoran Colón,SVC,Salvadoran Colón
45,ARS,Argentine Peso,ARS,Argentine Peso
46,QAR,Qatari Rial,QAR,Qatari Rial
47,IRR,Iranian Rial,IRR,Iranian Rial
48,MRO,Mauritanian Ouguiya,MRO,Mauritanian Ouguiya
49,XPD,Palladium,XPD,Palladium
50,XPF,CFP Franc,XPF,CFP Franc
51,UZS,Uzbekistan Som,UZS,Uzbekistan Som
