,cik_str,ticker,title
0,1750,AIR,AAR CORP
1,1800,ABT,ABBOTT LABORATORIES
2,1961,WDDD,WORLDS INC
3,2034,ACET,ACETO CORP
4,2098,ACU,ACME UNITED CORP
5,2178,AE,"ADAMS RESOURCES & ENERGY, INC."
6,2186,BKTI,BK Technologies Corp
7,2488,AMD,ADVANCED MICRO DEVICES INC
8,2809,AEM,AGNICO EAGLE MINES LTD
9,2969,APD,AIR PRODUCTS & CHEMICALS INC /DE/
10,3116,AKRX,AKORN INC
11,3116,AKRXQ,AKORN INC
12,3153,ALP-PQ,ALABAMA POWER CO
13,3153,ALPVN,ALABAMA POWER CO
14,3153,APRCP,ALABAMA POWER CO
15,3153,APRDM,ALABAMA POWER CO
16,3153,APRDN,ALABAMA POWER CO
17,3153,APRDO,ALABAMA POWER CO
18,3153,APRDP,ALABAMA POWER CO
19,3197,CECE,CECO ENVIRONMENTAL CORP
20,3453,MATX,"Matson, Inc."
21,3499,ALX,ALEXANDERS INC
22,3545,ALCO,"ALICO, INC."
23,3570,LNG,"Cheniere Energy, Inc."
24,4127,SWKS,"SKYWORKS SOLUTIONS, INC."
25,4281,HWM,Howmet Aerospace Inc.
26,4447,HES,HESS CORP
27,4457,UHAL,AMERCO /NV/
28,4904,AEP,AMERICAN ELECTRIC POWER CO INC
29,4904,AEP-PB,AMERICAN ELECTRIC POWER CO INC
30,4962,AXP,AMERICAN EXPRESS CO
31,4977,AFL,AFLAC INC
32,5272,AIG,AMERICAN INTERNATIONAL GROUP INC
33,5272,AIG-PA,AMERICAN INTERNATIONAL GROUP INC
34,5272,AIG-WT,AMERICAN INTERNATIONAL GROUP INC
35,5513,UNM,Unum Group
36,5513,UNMA,Unum Group
37,5656,AIVN,AMERICAN INTERNATIONAL VENTURES INC /DE/
38,5981,AVD,AMERICAN VANGUARD CORP
39,6176,AP,AMPCO PITTSBURGH CORP
40,6201,AAL,American Airlines Group Inc.
41,6207,AXR,AMREP CORP.
42,6281,ADI,ANALOG DEVICES INC
43,6284,ALOG,ANALOGIC CORP
44,6494,ANDR,ANDREA ELECTRONICS CORP
45,6769,APA,APACHE CORP
46,6845,APOG,"APOGEE ENTERPRISES, INC."
47,6885,SSINQ,STAGE STORES INC
48,6885,SSI,STAGE STORES INC
49,6951,AMAT,APPLIED MATERIALS INC /DE
50,6955,EPAC,ENERPAC TOOL GROUP CORP
51,7039,TREC,TRECORA RESOURCES
52,7084,ADM,Archer-Daniels-Midland Co
53,7323,EAB,"ENTERGY ARKANSAS, LLC"
54,7323,EAE,"ENTERGY ARKANSAS, LLC"
55,7323,EAI,"ENTERGY ARKANSAS, LLC"
56,7332,SWN,SOUTHWESTERN ENERGY CO
57,7431,AWI,ARMSTRONG WORLD INDUSTRIES INC
58,7536,ARW,ARROW ELECTRONICS INC
59,7623,ARTW,ARTS WAY MANUFACTURING CO INC
60,7789,ASB,ASSOCIATED BANC-CORP
61,7789,ASB-PC,ASSOCIATED BANC-CORP
62,7789,ASB-PD,ASSOCIATED BANC-CORP
63,7789,ASB-PE,ASSOCIATED BANC-CORP
64,7789,ASB-PF,ASSOCIATED BANC-CORP
65,8063,ATRO,ASTRONICS CORP
66,8146,ALOT,"AstroNova, Inc."
67,8177,AAME,ATLANTIC AMERICAN CORP
68,8328,AMNL,"Applied Minerals, Inc."
69,8411,ATW,ATWOOD OCEANICS INC
70,8504,UAVS,AgEagle Aerial Systems Inc.
71,8670,ADP,AUTOMATIC DATA PROCESSING INC
72,8818,AVY,Avery Dennison Corp
73,8858,AVT,AVNET INC
74,8868,AVP,AVON PRODUCTS INC
75,8947,AZZ,AZZ INC
76,9092,BMI,BADGER METER INC
77,9326,BCPC,BALCHEM CORP
78,9346,PTVCA,Protective Insurance Corp
79,9389,BLL,BALL Corp
80,9631,BNS,BANK OF NOVA SCOTIA
81,9892,BCR,BARD C R INC /NJ/
82,9984,B,BARNES GROUP INC
83,10048,BRN,BARNWELL INDUSTRIES INC
84,10254,ESTE,EARTHSTONE ENERGY INC
85,10329,BSET,BASSETT FURNITURE INDUSTRIES INC
86,10456,BAX,BAXTER INTERNATIONAL INC
87,10795,BDX,BECTON DICKINSON & CO
88,10795,BDXA,BECTON DICKINSON & CO
89,10795,BDXB,BECTON DICKINSON & CO
90,11199,BMS,BEMIS CO INC
91,11544,WRB-PC,BERKLEY W R CORP
92,11544,WRB-PD,BERKLEY W R CORP
93,11544,WRB-PE,BERKLEY W R CORP
94,11544,WRB-PF,BERKLEY W R CORP
95,11544,WRB,BERKLEY W R CORP
96,11544,WRB-PB,BERKLEY W R CORP
97,12040,BDL,FLANIGANS ENTERPRISES INC
98,12208,BIO,"BIO-RAD LABORATORIES, INC."
99,12239,AIKI,Aikido Pharma Inc.
100,12659,HRB,H&R BLOCK INC
101,12927,BA,BOEING CO
102,13156,GLXZ,"Galaxy Gaming, Inc."
103,13573,BWL-A,BOWL AMERICA INC
104,14177,BRID,BRIDGFORD FOODS CORP
105,14195,BGG,BRIGGS & STRATTON CORP
106,14272,BMY,BRISTOL MYERS SQUIBB CO
107,14272,BMY-RI,BRISTOL MYERS SQUIBB CO
108,14272,CELG-RI,BRISTOL MYERS SQUIBB CO
109,14693,BFA,BROWN FORMAN CORP
110,14693,BFB,BROWN FORMAN CORP
111,14707,CAL,CALERES INC
112,14846,BRT,BRT Apartments Corp.
113,14930,BC,BRUNSWICK CORP
114,14930,BC-PA,BRUNSWICK CORP
115,14930,BC-PB,BRUNSWICK CORP
116,14930,BC-PC,BRUNSWICK CORP
117,15615,MTZ,MASTEC INC
118,15847,BUKS,BUTLER NATIONAL CORP
119,16040,CBT,CABOT CORP
120,16058,CACI,CACI INTERNATIONAL INC /DE/
121,16099,LUB,LUBYS INC
122,16160,CALM,CAL-MAINE FOODS INC
123,16732,CPB,CAMPBELL SOUP CO
124,16859,SRL,Scully Royalty Ltd.
125,16868,CNI,CANADIAN NATIONAL RAILWAY CO
126,16875,CP,CANADIAN PACIFIC RAILWAY LTD/CN
127,16918,STZ,"CONSTELLATION BRANDS, INC."
128,16918,STZB,"CONSTELLATION BRANDS, INC."
129,16988,CAJ,CANON INC
130,17313,CSWC,CAPITAL SOUTHWEST CORP
131,17313,CSWCL,CAPITAL SOUTHWEST CORP
132,17843,CRS,CARPENTER TECHNOLOGY CORP
133,18172,CTAM,A. M. Castle & Co.
134,18230,CAT,CATERPILLAR INC
135,18255,CATO,CATO CORP
136,18349,SNV,SYNOVUS FINANCIAL CORP
137,18349,SNV-PD,SYNOVUS FINANCIAL CORP
138,18498,GCO,GENESCO INC
139,18654,AILIH,Ameren Illinois Co
140,18654,AILIM,Ameren Illinois Co
141,18654,AILIN,Ameren Illinois Co
142,18654,AILIO,Ameren Illinois Co
143,18654,AILIP,Ameren Illinois Co
144,18654,AILNP,Ameren Illinois Co
145,18654,AILLI,Ameren Illinois Co
146,18654,AILLL,Ameren Illinois Co
147,18654,AILLM,Ameren Illinois Co
148,18654,AILLN,Ameren Illinois Co
149,18654,AILLO,Ameren Illinois Co
150,18654,AILLP,Ameren Illinois Co
151,18926,CTL,"CENTURYLINK, INC"
152,19411,MGLN,MAGELLAN HEALTH INC
153,19446,CMD,CANTEL MEDICAL CORP
154,19584,CHE,CHEMED CORP
155,19612,TCF,TCF FINANCIAL CORP
156,19617,AMJ,JPMORGAN CHASE & CO
157,19617,JPM,JPMORGAN CHASE & CO
158,19617,JPM-PC,JPMORGAN CHASE & CO
159,19617,PPLN,JPMORGAN CHASE & CO
160,19617,JPM-PD,JPMORGAN CHASE & CO
161,19617,JPM-PG,JPMORGAN CHASE & CO
162,19617,JPM-PH,JPMORGAN CHASE & CO
163,19617,JPM-PJ,JPMORGAN CHASE & CO
164,19745,CPK,CHESAPEAKE UTILITIES CORP
165,19871,CVR,CHICAGO RIVET & MACHINE CO
166,20212,CHDN,CHURCHILL DOWNS Inc
